place,movie_title,rating,year,star_cast
195,Sherlock Jr,8.068170851658993,1924,"Buster Keaton (dir.), Buster Keaton, Kathryn McGuire"
196,Relatos salvajes,8.067525816243176,2014,"Damián Szifron (dir.), Darío Grandinetti, María Marull"
197,Mr Smith Goes to Washington,8.066905580117846,1939,"Frank Capra (dir.), James Stewart, Jean Arthur"
198,Mad Max: Fury Road,8.06364344312678,2015,"George Miller (dir.), Tom Hardy, Charlize Theron"
199,Det sjunde inseglet,8.062988207622638,1957,"Ingmar Bergman (dir.), Max von Sydow, Gunnar Björnstrand"
200,Mary and Max,8.062797529511665,2009,"Adam Elliot (dir.), Toni Collette, Philip Seymour Hoffman"
201,How to Train Your Dragon,8.06151506183542,2010,"Dean DeBlois (dir.), Jay Baruchel, Gerard Butler"
202,Room,8.061243368222591,2015,"Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay"
203,"Monsters, Inc",8.060513767281618,2001,"Pete Docter (dir.), Billy Crystal, John Goodman"
204,Jaws,8.06001283554768,1975,"Steven Spielberg (dir.), Roy Scheider, Robert Shaw"
205,Dead Poets Society,8.058966179844834,1989,"Peter Weir (dir.), Robin Williams, Robert Sean Leonard"
206,The Big Lebowski,8.058821515494811,1998,"Joel Coen (dir.), Jeff Bridges, John Goodman"
207,Tôkyô monogatari,8.054459246182967,1953,"Yasujirô Ozu (dir.), Chishû Ryû, Chieko Higashiyama"
208,La passion de Jeanne d'Arc,8.05330920363074,1928,"Carl Theodor Dreyer (dir.), Maria Falconetti, Eugene Silvain"
209,Hotel Rwanda,8.049367543487776,2004,"Terry George (dir.), Don Cheadle, Sophie Okonedo"
210,Ford v Ferrari,8.048653022947676,2019,"James Mangold (dir.), Matt Damon, Christian Bale"
211,Rocky,8.046311706232451,1976,"John G. Avildsen (dir.), Sylvester Stallone, Talia Shire"
212,Platoon,8.044619347096505,1986,"Oliver Stone (dir.), Charlie Sheen, Tom Berenger"
213,Ratatouille,8.04148069608218,2007,"Brad Bird (dir.), Brad Garrett, Lou Romano"
214,Spotlight,8.040737729167402,2015,"Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton"
215,The Terminator,8.040217676036328,1984,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton"
216,Logan,8.03960662460852,2017,"James Mangold (dir.), Hugh Jackman, Patrick Stewart"
217,Stand by Me,8.03888450768572,1986,"Rob Reiner (dir.), Wil Wheaton, River Phoenix"
218,Rush,8.036053829988578,2013,"Ron Howard (dir.), Daniel Brühl, Chris Hemsworth"
219,Network,8.034914119328914,1976,"Sidney Lumet (dir.), Faye Dunaway, William Holden"
220,Into the Wild,8.032398942700569,2007,"Sean Penn (dir.), Emile Hirsch, Vince Vaughn"
221,Before Sunset,8.032196222134099,2004,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy"
222,The Wizard of Oz,8.031207832277097,1939,"Victor Fleming (dir.), Judy Garland, Frank Morgan"
223,Pather Panchali,8.028584406085546,1955,"Satyajit Ray (dir.), Kanu Bannerjee, Karuna Bannerjee"
224,Groundhog Day,8.027890099093337,1993,"Harold Ramis (dir.), Bill Murray, Andie MacDowell"
225,The Best Years of Our Lives,8.027616574889654,1946,"William Wyler (dir.), Myrna Loy, Dana Andrews"
226,The Exorcist,8.026711297965244,1973,"William Friedkin (dir.), Ellen Burstyn, Max von Sydow"
227,To Be or Not to Be,8.025013175275888,1942,"Ernst Lubitsch (dir.), Carole Lombard, Jack Benny"
228,The Incredibles,8.024989895449503,2004,"Brad Bird (dir.), Craig T. Nelson, Samuel L. Jackson"
229,La haine,8.023704917088521,1995,"Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé"
230,La battaglia di Algeri,8.022864756462921,1966,"Gillo Pontecorvo (dir.), Brahim Hadjadj, Jean Martin"
231,Pirates of the Caribbean: The Curse of the Black Pearl,8.022692316243047,2003,"Gore Verbinski (dir.), Johnny Depp, Geoffrey Rush"
232,Hachi: A Dog's Tale,8.022111331388208,2009,"Lasse Hallström (dir.), Richard Gere, Joan Allen"
233,The Grapes of Wrath,8.022071605354908,1940,"John Ford (dir.), Henry Fonda, Jane Darwell"
234,Babam ve Oglum,8.021116360777475,2005,"Çagan Irmak (dir.), Çetin Tekindor, Fikret Kuskan"
235,Jai Bhim,8.02108209778694,2021,"T.J. Gnanavel (dir.), Suriya, Lijo Mol Jose"
236,Amores perros,8.020232981905314,2000,"Alejandro G. Iñárritu (dir.), Emilio Echevarría, Gael García Bernal"
237,Rebecca,8.019972909746,1940,"Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine"
238,Cool Hand Luke,8.01891741735374,1967,"Stuart Rosenberg (dir.), Paul Newman, George Kennedy"
239,Ah-ga-ssi,8.016812855556735,2016,"Park Chan-wook (dir.), Kim Min-hee, Ha Jung-woo"
240,Les quatre cents coups,8.015587272836457,1959,"François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy"
241,It Happened One Night,8.013336369686606,1934,"Frank Capra (dir.), Clark Gable, Claudette Colbert"
242,The Sound of Music,8.013331038715403,1965,"Robert Wise (dir.), Julie Andrews, Christopher Plummer"
243,Persona,8.01263231200895,1966,"Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann"
244,Life of Brian,8.010104619296316,1979,"Terry Jones (dir.), Graham Chapman, John Cleese"
245,The Iron Giant,8.006242565345104,1999,"Brad Bird (dir.), Eli Marienthal, Harry Connick Jr."
246,Dersu Uzala,8.005152776108385,1975,"Akira Kurosawa (dir.), Maksim Munzuk, Yuriy Solomin"
247,The Help,8.005067132245003,2011,"Tate Taylor (dir.), Viola Davis, Emma Stone"
248,Aladdin,8.004300289203504,1992,"Ron Clements (dir.), Scott Weinger, Robin Williams"
249,Gandhi,8.002630073948318,1982,"Richard Attenborough (dir.), Ben Kingsley, John Gielgud"
250,Dances with Wolves,8.001432716465416,1990,"Kevin Costner (dir.), Kevin Costner, Mary McDonnell"
